time,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user
10/26/2012 14:27,A hurricane warning has been issued or has been lifted,1,"Hurricane Sandy expected to make landfall
Sandy expected to make landfall
Hurricane Sandy","by early evening
by early evening
early evening",NJ,Informative (Indirect),Hurricane Sandy expected to make landfall along or just south of southern NJ coast by early evening - @NHC_Atlantic http://t.co/S4Otj1kk,Hurricane Sandy expected to make landfall along or just south of southern NJ coast by early evening - @NHC_Atlantic http://t.co/S4Otj1kk,Caution and advice,,breakingstorm
10/26/2012 14:47,Other,0.6485,"Hurricane Sandy coming ashore
Starbucks closes all locations
Panic  Starbucks closes","N/A
n/a
n/A","NYC
NYC
Starbucks",Informative (Direct),Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Caution and advice,,timmyodea
10/26/2012 19:14,A hurricane warning has been issued or has been lifted,0.7122,"Sandy is coming
Sandy is coming and it is full of anger!
Sandy is coming","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),#Sandy is coming and it is full of anger! #Storm #NYC http://t.co/N5ruP5z8,#Sandy is coming and it is full of anger! #Storm #NYC http://t.co/N5ruP5z8,Caution and advice,,satantoine
10/26/2012 20:18,A hurricane sighting has been reported,0.7003,"interviewed a storm chaser
next 72 hours in NYC especially will be chaos
worst storm in 100 years","next 72 hours
next 72 hours
next 72 hours","NYC
NYC
NYC",Informative (Direct),Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Caution and advice,,MattJohnstonTV
10/26/2012 20:40,Other,1,"financial markets closed
Storm will keep financial markets closed Tuesday
Storm will keep financial markets closed","Tuesday
Tuesday
Tuesday",NYC,Informative (Indirect),Storm will keep financial markets closed Tuesday: NEW YORKÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â®Major U.S. stock and bond markets will be closed beca... http://t.co/AniU2e8q,Storm will keep financial markets closed Tuesday: NEW YORK. Major U.S. stock and bond markets will be closed beca... http://t.co/AniU2e8q,Caution and advice,,fanlacrosse
10/26/2012 20:57,Other,1,"Driving in this is no joke
Driving in this is no joke this
Driving in this is no joke","N/A
N/A
n/a",NYC,Informative (Direct),Driving in this is no joke this _ÃƒÆ’Ã‚Â´Ãƒâ€šÃ‚Â»Ãƒâ€šÃ¢â‚¬Â  #Sandy,Driving in this is no joke� #Sandy,Caution and advice,,mocha_93
10/27/2012 6:08,Other,0.9531,"stock market closing
stock market closing for bad weather
stock market closing
stock market closing
stock market closing
stock market closing for bad weather
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing for bad weather
stock market closing for bad weather
bad weather #sandy
closing
stock market closing
stock market closing for bad weather
First time since 1888 stock market closing for bad weather
stock market closing for bad weather
First time since 1888 stock market closing for bad weather
stock market closing for bad weather
stock market closing
stock market closing
stock market closing
stock market closing for bad weather
stock market closing
First time since 1888 stock market closing for bad weather","n/a

na
N/A
N/A

1988


N/A

N/A
since 1888
since 1888
n/a
First time since 1888
First time since 1888
N/a
na
n/a

N/A
N/A
N/A
N/A

N/A
N/A
First time since 1888
since 1888
N/A",NYC,Informative (Direct or Indirect),First time since 1888 stock market closing for bad weather #Sandy,First time since 1888 stock market closing for bad weather #Sandy,Caution and advice,Other,feverplay_xo
10/27/2012 6:08,A shelter is open or available,0.925,"search for open shelters
search for open shelters
search for open shelters
search for open shelters
search for open shelters by texting
East coast search for open shelters
search for open shelters by texting
East coast search for open shelters by texting
open shelters
search for open shelters
search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA)
search for open shelters
search for open shelters
search for open shelters by texting
search for open shelters
search for open shelters
search for open shelters
Search for open shelters by texting
search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA).
search for open shelters
search for open shelters
open shelters
search for open shelters
search for open shelters
search for open shelters
search for open shelters by texting
East coast search for open shelters
open shelters
search for open shelters
search for open shelters","

n/a
n/a
N/A
N/A





N/A




n/a
Na
N/A
N/A
N/A

N/A
N/A
n/a
n/a


N/A
N/A",NYC,Informative (Direct),#Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),RT @fema: #Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),Caution and advice,A shelter is open or available,cubedreamer
10/27/2012 14:27,Other,1,"All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
Broadway performances have been cancelled","Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30","NYC
NYC
NYC",Informative (Indirect),UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,RT @TheBwayLeague: UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,Caution and advice,,fdilella
10/27/2012 14:27,Other,1,"significant chance of flooding
significant chance of flooding
chance of flooding","N/A
n/a
n/A",NYC,Informative (Indirect),"ConEd CEO on #Sandy: ""There is a significant chance of flooding throughout NYC""","RT @WSJweather: ConEd CEO on #Sandy: ""There is a significant chance of flooding throughout NYC""",Caution and advice,,KCMichelle
